3.048366717994213104e-01,5.429171640425920486e-01,1.883729934692382812e+00,3.947669258341193199e-01,1.392253799363970757e+00,2.998537758830934763e-01
2.316880356520414352e-01,8.096542358398437500e-01,8.490823758766055107e-01,5.482101440429687500e-02,8.290990829467773438e+00,1.184787750244140625e-01
4.656544271856546402e-01,3.677293341606855392e-01,4.738315582275390625e+00,1.086985077708959579e-01,8.518680572509763849e+00,1.284420202719047666e-01
2.612915039062495559e-01,5.848255157470703125e-01,2.264722824096679688e+00,5.839236135070677847e-01,1.181633481988683343e+00,1.212389898486435413e+00
8.029207229614257812e+00,1.072439705953001976e+00,5.071386337280273438e+00,2.529468536376953125e-01,7.810280742123723030e-01,1.253912971296813339e-01
4.958953857421875000e-01,8.795108795166015625e-01,1.816257476806640625e+00,1.368030548095703125e+00,9.457960342988371849e-01,1.706108093261718750e+00
3.011124124750494957e-01,1.655324935913085938e+00,4.998131273314356804e-01,3.013458251953125000e-01,4.381879806518554688e+00,4.384466363117098808e-01
7.366981506347656250e-01,1.679882049560546875e+00,3.179040297400206327e-01,9.034069869667291641e-01,2.776845932006835938e+00,3.965055678039789200e+00
3.197037233039736748e-01,3.883686065673828125e-01,2.567276000976562500e+00,2.147998809814448684e-01,1.711591720581054688e+00,1.418853318318724632e-02
1.517757415771484375e+00,9.646263122558593750e-01,5.984761021099984646e-01,4.370059967041015625e-01,2.733215332031250000e+00,7.645548237487673759e-01
1.947727203369140625e-01,5.407180786132812500e-01,1.049980163574218750e+00,7.631626129150390625e-01,1.269545356277376413e+00,4.489269256591787993e-01
1.227602005004882812e+00,2.632347084581851959e-01,1.166556970216333866e+00,9.547194966580718756e-02,1.463601315859705210e+00,1.406004823511466384e-01
1.329168319702148438e+00,1.969560623168945312e+00,4.234949676319956779e-01,5.992441354319453239e-01,1.665576934814453125e+00,6.174807702191174030e-01
5.526390075683593750e-01,1.946195602416992188e+00,4.608223182149231434e-01,5.110808913595974445e-01,3.172620773315429688e+00,4.448298630304634571e-01
1.834231577813625336e-01,1.821264266967773438e+00,4.099095324054360390e-01,4.575099945068354934e-01,7.560879541561007500e-01,9.448375701904296875e-01
